Vegan,Ingredients,Preparation,Meat
VEGAN STREET TACOS,"


Ingredients



Scale
1x2x3x 



Taco Nut Meat

1 cup walnuts
1 cup mushrooms (I used baby bellas)
1 tablespoon tamari, soy sauce or coconut amino’s
1 tablespoon cumin
1/2 teaspoon chili powder

Spanish Quinoa

1 tablespoon olive oil or 1/4 cup water
1/2 onion, diced
1 green bell pepper, diced (any color is ok), optional
1 – 2 cloves garlic, minced or 1 teaspoon garlic powder
1 cup quinoa, rinsed
1 tablespoon tomato paste or 1 cup diced tomatoes
2 cups low-sodium vegetable broth or water
salt + pepper, to taste

To Serve

6 corn tortillas or 6 leaves butter, romaine or other large leafy greens for raw taco wrap
Black Bean Corn Salad (use half recipe)
cilantro, to serve
lime wedges, to serve
pico de gallo (use pre-packaged for convenience), to serve
avocado slices, to serve
hot sauce – tapatio, sriracha or your favorite hot sauce, to serve (optional)


","

Instructions


Spanish quinoa (serves 6):

In medium size pan or skillet, heat oil over medium high heat, add onion, optional bell pepper and cook for 3 minutes, add quinoa and garlic, cook another 5 minutes or so stirring frequently until quinoa starts to get toasty and turn slightly golden. 
Add water, tomato paste, oregano, salt + pepper, bring to a boil, cover, reduce heat to low and simmer for 20 minutes. 
When done, remove cover, fluff with the a fork, and let set for 15 minutes to absorb the rest of the liquids. Taste for seasonings before serving.

Nut meat (makes 6 tacos): 

Place all ingredients in food processor/blender and pulse until you have chunky crumbles. Don’t over process or you will have a nut mushroom pate, which wouldn’t be so bad but we want a crumbly effect here. For visual steps, see this Walnut Meat recipe.
Optionally, heat the nut meat on low just until warm in a small saucepan. You don’t want to overheat or the mushrooms will cook too much, just slightly warm it. I find both ways, warm and room temp, to be just as appealing. Makes enough for 6 tacos.

Warm your tortillas on the griddle or skillet for 30 seconds per side.
Serve: Put your plates and tacos together as you wish! You may find that you end up combining the black bean salsa with the Spanish fried quinoa. You may also find yourself making tacos out of both of those side dishes as well. However you craft your plate, enjoy!

",Tacos
GRILLED BAJA TOFU TACOS + RED CABBAGE SLAW,"


Ingredients



Scale
1x2x3x 




1 (14 ounce) package non-gmo firm or extra-firm tofu, pressed
chipotle mayo or chipotle tahini sauce (recipe), to serve
pico de gallo, to serve (optional)
limes wedges, to serve
6 corn tortillas, to serve

Tofu Marinade

1/4 cup fresh lime juice, about 2 large limes
1 teaspoon cumin
pinch of mineral salt

Red Cabbage Slaw

1/2 small red cabbage, thinly sliced
3 tablespoons apple cider or red wine vinegar
1/4 cup cilantro, chopped
pinch of mineral salt


","

Instructions


Press tofu: Drain tofu, place block on its side and cut in half lengthwise. With halves still together, place tofu flat and cut into thirds on its longest side. You will get six pieces. Place tofu between a double folded kitchen towel and add a heavy book or pot over top to remove excess moisture. Let sit while you prepare the marinade.
Marinate: In a small/medium size baking dish or pan (I used a loaf pan), mix together the lime juice, cumin and salt. Place tofu in mixture and marinate for at least 30 min, and up to 24 hours.
Cabbage slaw: In a medium size mixing bowl, add the cabbage, vinegar, cilantro and salt, mix well and give a toss every now and then. Let set at least 10 min. Making it ahead a day or two is also great!
Grill tofu: Heat grill over medium to medium-high heat. Add enough oil to generously coat the side of the griddle you’ll be using, about two tablespoons. Add a drop of water to the griddle, if it sizzles it’s ready. Place tofu on griddle, cook 3 – 4 minutes per side, or until you get nice grill marks. It helps to press the tofu with the back of a spatula to release excess liquids and aid in grill marks. Once done, set aside.
Serve: Warm tortillas over medium-low heat on a gas or electric burner. Layer each tortilla with on piece tofu, red cabbage slaw and chipotle sauce. Top with optional pico de gallo and a squeeze of lime.
Serves 2 – 3
NOTES:
Don’t be shy with the toppings. Pile them as high as you like!

",Tacos
ROASTED POBLANO TACOS,"


Ingredients



Scale
1x2x3x 




2 medium poblano chiles (Anaheim or hatch chilies ok too)
1 can (15 oz) pinto, black beans or refried beans
2 scallions, sliced
purple or green cabbage, shredded
avocado, sliced
cilantro
6 corn tortillas (or 9 organic corn tortilla sliders)
lime wedges, to serve
hatch chile cashew dressing or cilantro lime cashew cream, to serve


","

Instructions


Roast poblanos: Turn broiler to medium – high, place poblanos on baking sheet and place under the broiler for about 7 – 10 minutes, turning every few minutes to char and brown evenly on all sides. Poblanos will crackle and pop while cooking, they will be ready when charred and softened to the touch of a fork pushing on its side. Place poblanos in a bowl, cover with a plate or saran wrap and let steam for a few minutes (this will help loosen the skin for peeling). Remove the skin, lay the peeled poblano on a flat surface, remove the top and make a slit down the center, open and remove the seeds. Slice lengthwise into 1/2 inch strips.
Heat beans: Place beans in a small pot and cook over medium until warm, stirring occasionally. If using pinto or black beans, add a dash or two of garlic powder for a little extra flavor. You may decide to not heat your canned whole beans in which case, drain and rinse before using.
Prep veggies: Prepare scallions, purple cabbage and avocado. Heat your tortillas over the gas/electric burner until slightly charred.
Build: Layer your tacos with beans, poblanos, cabbage, scallions, avocado, cilantro and a sprinkle of pink salt & drizzle of cashew cream of choice or sriracha (or both!).
Serves 3

",Tacos
BLACK BEAN TACOS,"


Ingredients



Units
USM 

Scale
1x2x3x 



Black Beans

1 tablespoon water or 1/4 cup water for water saute
1 small onion, diced
1 small jalapeno, seeds removed and diced, optioanal
1 teaspoon cumin
1/2 teaspoon dried oregano
1/2 teaspoon garlic powder
salt, to taste
2 cans (15oz) black beans, drained and rinsed
1/4 – 1/2 cup water or vegetable broth

To serve

corn or flour tortillas, warmed
romain or lettuce, shredded
Pico de Gallo, Corn Salsa, and/or Mango Salsa
avocado, sliced
chopped cilantro
lime wedges
vegan cheese (my favorite is Miyoko’s Mozz, crumbled)


","

Instructions


Black Beans: In a medium pot, warm oil over medium heat, add the onions and saute for 5 minutes. Add the jalapeno, cumin, oregano, garlic powder and pinch of salt, cook for 30 seconds to 1 minute, until nice and fragrant. Add the beans, and 1/4 cup of water, cover, reduce heat to low and simmer for 5 – 8 minutes. Remove from heat, smash at least 1/2 of the beans, using the back of a slotted spoon or fork. Add the remaining water as needed for desired consistency. If you add too much water, the beans will thicken upon standing. Taste for flavor adding more salt as needed.
Warm the tortillas: I love to warm my tortillas over a medium-low flame of the stovetop burner, flipping them often until they are lightly charred around the edges.
Assemble: Lay the tortilla on a flat surface, top with 1/4 cup of the beans, small handful of leafy greens, pico de gallo and/or corn salsa, sliced avocado, and crumbled cheese (optional). Add a sprinkle of salt and squeeze of lime overtop.
Makes about 10 tacos, 2 tacos per serving.
Store in the refrigerator or freezer: Keep leftover black beans in the refrigerator 4 – 5 days, stored in covered containers. For longer storage, keep in the freezer for 2 – 3 months in freezer safe containers. Let thaw before reheating.
To Reheat: Warm the beans on the stove over low, stirring occasionally, until warmed through. Alternately, place them in the microwave for 30 second intervals, stirring each time, until warmed.
NOTES:
These Instant Pot Black Beans made from scratch using dried beans would be great too!
For creaminess, try adding a dollop of Vegan Sour Cream or Sriracha Cashew Cream.

",Tacos
Chilli Vegetable Pizza,"
Ingredients

125g ’00’ flour
125g strong wholemeal flour
1/2 tsp dried active yeast*
4g dried chipotle mora chilli
very finely diced
5g Himalayan pink salt (or table salt)
150ml warm water
12 cherry tomatoes
1/2 red onion
1 large clove garlic
7g ancho poblano chilli
soaked with seeds
1/2 cup water
2 tblsps balsamic vinegar

","
Preparation
Makes 2 individual 8″ pizzas
Equipment

Food processor with dough blade
Pizza stone or tray
Measuring cups
Measuring spoons
Frying pan


Method
Add all of the flours, yeast*, salt and chipotle mora to the food processor with the dough blade and turn on.
*I only had dried active yeast to hand, so added it to the ingredients above, (ignoring the actual instructions on the container) with full success!
Pour the water in a steady trickle until you’ve used it all and the dough becomes a ball.
Take the dough out of the processor, lightly flour your surface and set the timer for 10 mins. Knead and stretch the dough the whole time – if your arms start to ache, just image the amazing workout you’re giving them without stepping inside a gym!
Once the timer goes off, shape into a ball, put into a deep bowl that’s had a light sprinkling of flour on the bottom, cover with cling film and leave to rest at room temperature for 10 minutes.
Once rested, take it out of the bowl and knead again for 10 seconds – this helps to develop the flavour and the gluten.
Divide into 2 equally sized, smooth balls of dough and put into a deep baking dish, lightly sprinkled with flour. Make sure the dish is big enough for them to spread up to twice their size because as the gluten relaxes, they will spread to some degree.
* Top Tip *
I’ve made this base numerous times and sometimes the dough spreads a lot, other times it hardly spreads at all. Don’t worry, it’s always tasted great either way!
Leave to rest at room temperature overnight, or if you’re in a massive hurry, at least eight hours! I don’t leave mine in a very warm place like the airing cupboard as I found it can dry out and form a ‘skin’ on the outside.
* Top Tip *
The resting time for the dough is ideally 24 hours, but 48 hours is maximum.
Put the normal blade back into your food processor and add in the tomatoes, onion, garlic and ancho poblano, pulse for 10-20 seconds to break them up into small chunks, and pour into your frying pan.
* Top Tip *
You can choose how chunky or smooth to have the sauce when pulsing in the processor. Personally I prefer it chunky as it almost becomes one of the delicious pizza toppings.
Add the water, balsamic and simmer on a medium heat for 12-15 mins to let the flavours intensify, while stirring occasionally. It’s ready when the excess liquid has been absorbed but it’s still moist; don’t let it dry out and stick to the pan.
* Top Tip *
The sauce flavours will develop the longer you leave it, so why not make it a couple of days in advance and keep in the fridge? It does however, also tastes great if you make it on the day.
Turn the oven on to the highest setting to heat up your pizza stone if you have one, otherwise 220c if you’re using a pizza tray.
* Top Tip *
For pizza stones, it’s always the hotter the better, so I usually pre-heat mine for an hour.
Lightly flour your surface, roll out the dough, add sauce and your favourite tasty toppings. Put into the oven for approx. 8 mins on the pizza stone. I haven’t cooked them on a pizza tray before, but as it won’t have the intense heat of the stone, I’d suggest 10-12 mins (keep an eye on it to make sure it doesn’t overcook on top).
* Serving Suggestion *
These chilli pizzas are a spicy alternative to your usual takeaway version – the base has a delicious hot and smokey bite to it, yet this is balanced perfectly by the sweet flavours of the tomato sauce. Throw a pizza party and impress your friends with your cooking skills, or snuggle up on the sofa with your loved one and enjoy all to yourselves!
I honestly don’t miss cheese on pizza once I throw on a mix of veggies, Dee’s vegan sausage and lots of hot, sweet roquito peppers – what’s on your list of ultimate pizza toppings?
",Pizza
Charred Mushroom and Cashew Pizza,"
Ingredients
FOR THE PIZZA:
300g light spelt flour
150ml tepid water
1 tablespoon olive oil, plus more for cooking
8 tablespoons good tomato passata
A handful of small black olives, de-stoned
A small handful of rocket
FOR THE MUSHROOMS:
1 red onion
Olive oil
250g mushrooms
1 clove of garlic
A few sprigs of fresh thyme
FOR THE CASHEW RICOTTA:
200g cashews
The juice of ½ an unwaxed lemon
1 clove of garlic
A pinch of fennel seeds
1 tablespoon olive oil
1 tablespoon nutritional yeast (optional)
","
Preparation
Makes 2 Large Pizzas.

Method

First, get all your ingredients together and find yourself a large heavy based frying pan – you’ll need it to be around 26cm. Preheat your grill to maximum.


Slice the red onion and put it into the frying pan with a little oil. Tear the mushrooms into pieces and roughly chop the garlic, then add to the pan with the thyme leaves and cook for 4–5 minutes, turning every so often, until the mushrooms are charred and crispy and cooked through. Remove and put aside for later.


Next, make the cashew ricotta: put all the ingredients into the bowl of a food processor with 3 tablespoons of cold water and blend until completely smooth – this should take 2–5 minutes, depending on how powerful your machine is. It should be the consistency of normal ricotta. Scoop out into a bowl and wash the processor bowl.


Now make the dough. Put the four and water into the processor with a good pinch of salt and a tablespoon of olive oil and pulse until the dough comes together in a ball. Tip it out and bring it together in your hands.


Get your frying pan on a medium to high heat. If you have two pans about the right size you can do both the pizzas at once, otherwise you can do one after the other, as they cook quickly.


Cut the dough into two equal halves and cover one half for later.


Put the other half on to a floured work surface and use a rolling pin to roll it out into a 1cm thick circle about the size of your frying pan.


Drizzle a little oil into the hot pan, then carefully lift in the dough. Leave it on the heat for about 3 minutes, so the base is starting to cook, while you quickly top the pizza.


Spoon half the tomato passata over, then the mushrooms. Dot with the cashew cheese and the olives.


Pop the pizza under the grill for 4–5 minutes, until it is cooked through and the cashew cheese is browned.


Repeat with the second pizza.


To finish, strew with some rocket leaves and cut into generous slices.

",Pizza
Homemade Vegan Pizza/Nacho Cheese,"
Ingredients

1 x large potato
1 x large carrot
(3 tablespoons of the potato/carrot water)
1/2 cup of oil (I use olive)
1/2 cup of nutritional yeast
Juice of half a lemon
Teaspoon of garlic granules
Dash of celery salt
Cracked pepper

","
Preparation
This is the same cheese recipe featured in my Cheese on Toast, just in another guise. 

Method
There are lots of recipes for potato cheese out there, but this is the one I have adapted from various different ones*.

Peel one large potato and one large carrot
Chop into small chunks (carrot smaller than the potato as it is harder)
Boil until soft
Put 3 tablespoons of the potato water into a food processor
Drain potatoes and carrots and pour into the processor
Add: 1/2 cup of oil (I use olive), 1/2 cup of nutritional yeast, juice of half a lemon, teaspoon of garlic granules, dash of celery salt, cracked pepper
Blend!
You can eat this cheese straight away with tortilla chips, pour over nachos (maybe chuck it in the oven for a bit to make sure the cheese is really warm) or use as your cheese topping on pizza… Spread as liberally as you like! Sometimes you feel like more or less cheese, depending on your mood and/or the pizza toppings. The photos above are both with the same cheese… Just lots more on one that the other.
When cooked to your liking, remove and eat!

*According to everything I’ve read, this cheese can last up to 7 days in the fridge. Mine has never hung around that long, so I would say use within a couple of days to be on the safe side.
 
Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",Pizza
Breakfast Pizza,"
Ingredients

1 ripe banana
1 cup of gluten-free oats
Peanut butter
Fruit of your choice (suggestions in recipe)

","
Method
Preheat the oven to 170 degrees.
Mash up the banana and mix properly with oats.
Line your baking tray with baking paper. Take the banana and oat mixture and create a pizza shape.
Bake in the oven for 10 min or until the bottom of the pizza is slightly brown.
Spread peanut butter on the top; then add sliced banana, strawberries, kiwi – or whatever fruit  you like – and sprinkle with desiccated coconut.
 
",Pizza
Friday Night Pizza,"
Ingredients

Vegan pizza bases
Tomato sauce (recipe in Method)
Sautéed kale
Olives – kalamata or stuffed green, or a mix of the two
Mushrooms, chopped
Red/Yellow Pepper, finely chopped
Tomatoes, finely sliced
Vegan cheese (find our guide to the best vegan cheese here)
Fresh chilli
Artichokes
Fresh rocket (to sprinkle over the top after cooking)
Pine Nuts
Fresh basil
Chilli infused olive oil (to sprinkle over the top after cooking)
Roasted garlic
Spinach

","
Preparation
Make the easy pizza tomato sauce: 
Finely chop one onion and a couple of cloves of garlic. Add to a frying pan with a little olive oil.
Add half a teaspoon (each) of oregano, basil and thyme and mix.
Add a can of chopped tomatoes, a little salt and cracked pepper and leave to simmer and thicken. If you don’t let the sauce thicken enough, your toppings can all slide off when eating. So this is why you need a little time to make the sauce. You don’t want it in any way watery.

Method
Assemble your pizza:

Make tomato sauce or use a base with sauce already added.
Preheat your oven to 220C.
Wash some kale and add it to a frying pan with a little olive oil. Sauté for a few minutes until the kale is dark green. Turn off heat.
Chop the rest of your ingredients and grate the cheese.
Create your pizza! Add sauce, kale, olives, mushrooms, pepper, tomato and, lastly (after 5/10 minutes in the oven) cheese – but you can really do any order you want.
Remove and eat in great big slices!

Explore more vegan pizza recipes!
",Pizza
Roast Veg Pizza on a Cauliflower Base,"
Ingredients

PIZZA CRUST BASE
400g cauliflower (approx. half a large head of cauliflower or one small one)
15g ground chia seeds
25g Pulsin Soya Protein Powder
50g ground almonds
40g nutritional yeast
Chia egg substitute: 2 tbsp milled chia mixed with 5 tbsp water (equivalent to 2 eggs)
1 tbsp dried mixed herbs
Salt and pepper
TOMATO SAUCE TOPPING
1 tbsp ground flaxseed (this is optional but it helps thicken the sauce and adds omega-3s and fibre!)
1 1/2 tbsp sugar-free apple sauce
5 tbsp tomato purée
2 tbsp tamari
1.5 tbsp dried oregano
Salt and pepper
2 garlic cloves, crushed
TOPPINGS: The fun bit!
Of course, you can add what toppings you like here. I have topped mine with roasted vegetables: sliced beetroot, cubes of roasted sweet potato, red onion chunks, red pepper chunks-roasted with a little rapeseed oil for 30-40 mins.
For 2 medium pizzas you will need:
1 large beetroot, peeled & sliced
2 red onions
1 1/2 red pepper
1 medium sweet potato
100g Basil pesto tofu (available in supermarkets), sliced
3-4 tbsp nutritional yeast

","
Method
 

Remove the leaves from the cauliflower and cut into chunks. Then using a blender or food processor, blitz the cauliflower until it is finely chopped so that it resembles rice, i.e. cauliflower crumb


Transfer the crumb into a steamer and steam for 15 mins or microwave in a bowl with cling-film (with a hole or two on top) for 6 mins until soft


Preheat the oven to 200ºC (180ºC fan). Line 2 large baking sheets with greaseproof paper and a little coconut spray oil


Allow the cooked cauliflower crumb to cool before transferring into a clean tea towel and squeezing as much moisture as you can out. (Really wring it!) You may need more than one tea towel


Transfer the dehydrated cauliflower crumb into a bowl and add the remaining pizza base ingredients: ground chia seeds, protein powder (I used Pulsin Soya Protein powder), ground almonds, nutritional yeast, chia egg substitute, dried mixed herbs, a large pinch of salt and plenty of freshly ground black pepper


Using your hands, divide the pizza mixture in half and place directly on each baking sheet. Shape into a ball and then press down to form a round pizza base shape


Bake for 15 mins until the bases are golden brown and starting to crisp a little at the edges. If you want your base extra crispy, half-way through baking, flip it over to ensure both sides are well baked


Whilst the base is baking, mix together the ground flaxseed, sugar-free apple sauce, tomato purée, tamari, dried oregano, garlic and season with salt and pepper


Spread the tomato topping onto each of the pizza bases


Then top your pizza with your topping of choice. I Have chosen roasted vegetables and slices of basil pesto tofu. Sprinkle over with nutritional yeast


Turn the oven up to 240ºC (220ºC fan) and bake for a further 12- 15 mins


I love to serve mine with a large handful of fresh rocket on top and a side salad. Enjoy!

The key to making a great cauliflower crust pizza is by making a cauliflower crumb and then dehydrating it, so that as much moisture is squeezed out as possible, allowing the remaining crumb to be turned into a crispy pizza base. (If you don’t squeeze out the moisture, the base will be all soggy). You will be surprised with the amount of liquid which comes out! But this delicious grain-free pizza is well worth the effort.
There are two ways you can dehydrate your cauliflower crumb: the more time-consuming method is by putting the cooked cauliflower crumb in a tea-towel or two and wringing out the moisture. (I think of this as stress relief!). Alternatively, if you are lucky enough to have a juicer, you can simply feed cauliflower florets through the juicer and collect the residual crumb and mix this directly with the remaining pizza base ingredients. (No need to cook before using!).
So why not give this recipe a go, to create a delicious vegan pizza chock full of vegetables!
SO MAN
www.sobody.co.uk
Hello! I am So from SOBODYUK. I am a gym bunny, healthy food blogger & a geeky scientist! These days my lab is the kitchen! I love creating delicious, healthy, wholefood, clean-eating, nutrition-dense recipes to maximise performance & health. My recipes include paleo, low carb, vegan, vegetarian, gluten free.
 
Like this recipe? Sign up to Veganuary today to get recipes like this delivered directly to your inbox.
",Pizza
Roast Vegetable Pizza,"
Ingredients

25 g Flora Freedom
125 g self-raising wholemeal flour
1/2 teaspoon baking powder
pinch of salt
1/2 teaspoon dried oregano
7 tablespoons soya milk
50 g sundried tomatoes in oil, drained and chopped
50 g cherry tomatoes, halved
1 red onion, halved and cut into wedges
1 small courgette, shaved into very thin slices using a vegetable peeler
8 black olives
25 g pine nuts
75 g dairy free mozzarella for pizza, grated

","
Method

Preheat oven to 200° C, 180° C fan, Gas mark 6.


Sieve the flour, then place all ingredients for pizza base together in a mixing bowl and mix together to form a soft dough. Alternatively, throw the ingredients into a food processor to blend together.


Place the dough onto a lightly floured surface. Knead lightly and shape into a flat round about 20-23cm in diameter. Place on a greased baking tray.


Scatter the sundried and cherry tomatoes on top of the base, followed by the remaining topping ingredients, finishing off with a sprinkling of dairy free mozzarella.


Bake in preheated oven for 20-25 minutes, until the base is light golden. Serve straight away with a crisp mixed salad.

",Pizza
Gluten Free Pizza with Springtime Veg,"
Ingredients

1c gram flour
1c water
1/2t salt
300g Passata
1T nutritional yeast
1 garlic clove
Basil leaves
1/2 fennel bulb
Few asparagus
1 leek
1 courgette
Few mushrooms
Olive oil

","
Method

In a jug mix the flour, water and salt with a fork. Leave to rest for a few minutes.


Put a baking sheet on a large baking tray. Pour the flour mixture onto the paper, try to make it a round pizza shape but it’s not a problem if you can’t.


Put this in the oven whilst you prepare the toppings. This should take 10-15 minutes, the edges will be starting to brown.


In a bowl mix the passata with the nutritional yeast. Grate the garlic i to this, shred or tear the basil and add that too.


Using your peeler shred the fennel, just a handful will suffice. Put into a large bowl.


Chop about 2 inches off the bottom end of the asparagus. Roughly chop at a diagonal angle. Add to the bowl.


Finely slice the leek. Add to the bowl.


Cut the top and bottom off the courgettes. Using the peeler shred into wide thin pieces. Add to the bowl.


Finely slice the mushrooms but do not put these in the bowl yet.


Add a splash of olive oil and a dash of salt to the bowl. Using your hands mix this well and massage the oil into the veg. Now add the mushrooms and mix just a little.


Take your base out of the oven if you haven’t already. Turn the oven up to 240c.


Top with the passata, use however much you want, some people like a lot and some people like a little, it’s up to you.


Top with the veg.


Put the pizza on the top shelf of the oven. After 10 minutes check the pizza, the veg should be starting to brown, bake more if needed.

",Pizza
MEDITERRANEAN PIZZA,"


Ingredients



Scale
1x2x3x 




1 prepared pizza dough or pizza dough recipe
1/3 cup pizza or marinara sauce
1 tomato, thinly sliced
1 can artichoke hearts, sliced
1/3 cup black or green olives, halved
3/4 cup cooked chickpeas
1/4 small red onion, thinly sliced
pinch of red pepper flakes, optional
6 – 7 large basil leaves, julienned
almond parmesan, to serve


","

Instructions


Preheat oven to 450 degrees F. Place pizza stone or large baking sheet into the oven while oven heats.
Prep the dough: Let dough come to room temperature. Lightly flour a cutting board or flat workstation, gently stretch with your hands and roll out into a 12 inch pizza round. Be patient with the dough, it will want to shrink back (this is because of the gluten) but keep going you’ll get it to stay in place soon enough. Place dough on a good size piece of parchment paper, this is the easiest way to transfer the dough. 
Par-bake dough: Once oven is ready, place dough on baking sheet and bake on the center rack for 7 – 10 minutes.
Layer pizza: Carefully remove pizza dough from the oven and layer starting with the sauce, then the tomato slices, artichokes, olives, chickpeas and finally the red onion. Give a good sprinkle of red pepper flakes and mineral salt. 
Bake: Place pizza back in the oven for an additional 10 – 15 minutes. Let cool a few minutes.
To serve: Add basil or arugula over top. Cut into 4, 6 or 8 slices. Serve warm with a sprinkle of almond parmesan.

",Pizza
PINEAPPLE VEGGIE LOVER’S PIZZA (VEGAN),"


Ingredients



Units
USM 

Scale
1x2x3x 




Prepared pizza crust or dough (see notes)
Marinara sauce or any pizza sauce of choice
1/2 cup pineapple, diced
1 – 2 jalapeno, seeds removed and diced
small handful mushrooms, sliced
1/2 bell pepper, I used orange
4 – 5 grape tomatoes, quartered or halved
1/2 small red onion, diced
red pepper flakes, to taste
Salt + pepper, to taste

To serve

5 – 6 big leaves of basil, chopped
almond parmesan


","

Instructions


Prepare and cook pizza dough according to package directions. If using pre-made thin crust like I’ve done here, simply top and bake.
Top with 1/3 – 1/2 cup tomato sauce.
Add a layer of the pizza topping.
Bake on a lined cookie sheet or pizza pan for 10 – 15 minutes (or according to package directions).
Serve with chopped basil and light dusting of almond parmesan. For the pizza shown in the recipe, I cut mine into 4 slices, and ate folding my slice in half.

",Pizza
VEGAN WHITE PIZZA RECIPE,"


Ingredients



Scale
1x2x3x 




1 –2 zucchini, sliced thin
1 –2 yellow squash, sliced thin
1/4 red onion, thinly sliced
4 plain or whole grain vegan naan bread

White Sauce

1 block organic tofu (14 – 16 oz. soft)
2 – 3 tablespoons nutritional yeast
2 – 3 teaspoons mellow white miso
1/2 teaspoon garlic powder
1/2 teaspoon onion powder
dash of pepper (black or white)
generous pinch himalayan salt
juice of 1 lemon
a few parsley tops


","

Instructions


Preheat oven to 400 degrees F.
White pizza sauce: Place all ingredients in the bowl of a food processor/blender and blend until creamy. Taste for spices adding anything you may like. Makes about 2 cups. I had leftovers.
Prep veggies: Slice your zucchini and onions very thinly. You can use a mandolin or put your knife skills to work and slice.
Assemble pizza: Spread a layer of the ricotta on your flatbread and top with zucchini, yellow squash and onion slices. Add a sprinkle of salt and pepper.
Bake: Place pizza on cookie sheet lined with parchment paper and bake for about 15 minutes.

",Pizza
PIZZA PIE + BALSAMIC-TOMATO SAUCE + ROASTED VEGETABLES,"


Ingredients



Scale
1x2x3x 




1 ready made pizza dough (I use Trader Joe’s)
fresh basil leaves, to serve
red pepper flakes, to serve
almond parmesan, to serve

Topping

2 cups mushrooms, sliced
1/2 medium zucchini, cut in half lengthwise and sliced
1 small orange bell pepper, sliced
1/3 red onion, sliced
2 tablespoons olive oil
pinch of mineral salt

Balsamic Tomato Sauce

1 1/2 cups grape or cherry tomatoes
3 tablespoons tomato paste (sun-dried tomato paste is great too)
1 – 2 tablespoons balsamic vinegar
1 garlic clove or 1/2 teaspoon garlic powder
1 teaspoon Italian seasonings or a mix of oregano, basil, thyme, etc.
mineral salt & cracked pepper to taste


","

Instructions


Preheat oven to 500 degrees F.
Let dough rest: Coat an 8 or 10 inch cast iron skillet with olive oil. Remove dough from refrigerator, open package and place dough in center of the skillet, cover skillet with a clean dish towel. Let set for 30 minutes.
Roast veggies: Prep the mushrooms, zucchini, bell pepper and onion. Place on a rimmed baking sheet, along with the tomatoes for the sauce, drizzle with olive oil and gently toss to coat, keeping the tomatoes together. Sprinkle with salt. Place in the oven on the middle rack for 15 minutes. Remove and set aside.
Pre-bake dough: Remove dish towel for skillet and gently flatten out dough, pushing up the edges about 1 – 1/2 inches. Place in oven on middle rack and bake for 10 minutes.
Make sauce: While dough is pre-cooking, add the warm tomatoes, and remaining ingredients for the balsamic tomato sauce to a food processor or blender and process until blended and fairly smooth. Taste for flavor adding anything extra you might like.
Bake pizza: Remove dough from the oven, layer with 1/2 cup of the tomato sauce and reserved roasted vegetables. Place in oven and bake for 15 minutes, until crust is golden. Remove from oven and let cool a few minutes before cutting to serve.
Serve with red pepper flakes and a good dusting of almond parmesan.
NOTES:
If your crust doesn’t become golden enough for you, place the skillet pizza under the broiler for a minute or so checking often so it doesn’t burn.
I would love to recommend a good pizza dough recipe but I haven’t made one yet and find the ready made dough is quick and works great for me. If you have a good whole wheat pizza dough recipe I’d love know about it!

",Pizza
Tofu Scramble Breakfast Burritos,"
Ingredients

1 x block of firm tofu
Olive or rapeseed oil
1 x onion
2/3 garlic cloves
1/2 teaspoon of thyme
A good shake of paprika
1/4 – 1/2 teaspoon of turmeric
1/2 tablespoons soy/tamari sauce
Optional: mushrooms, peppers, chili, red and yellow pepper etc.
2-3 tablespoons of nutritional yeast
Black pepper and salt to taste
Tortilla wraps
Garnish options:
Tomato salsa
Hot sauce
Jalapenos
Spring onions
Grated vegan cheese
Avocados

","
Preparation
This recipe uses a whole block of tofu so makes a healthy serving of scramble. How many burritos you have will be determined by how much you pack into each, and how large your tortilla wraps are… But you should have four large burritos if you make them according to the recipe below.

Method

Rinse the tofu, wrap it in a clean tea towel, then put something heavy on top (some books, perhaps) to press the liquid from it.
Peel and finely chop the onion and garlic. Add these to a frying pan with a splash of olive oil.
Cook for a bit and then add the thyme,  paprika and turmeric. Mix and then add the soy sauce.
Add any other veg you want to include and stir.
Now, take the books off the tofu and give the tea towel another squeeze. Then with your hands, crumble the tofu into the frying pan.
Mix the tofu through, using your spoon to break up any bigger bits. It should look similar to scrambled egg now.
Once all mixed in, add nutritional yeast and mix in. I am obsessed with nutritional yeast so I always add more than 2!
Add some pepper and mix again.
Leave to cook for another 20 mins or so, turning down the heat a little to stop it sticking. Give it a stir occasionally.
After about 20 minutes you can start to prep your tortilla wraps. Spread some tomato salsa in the middle of the wrap. Add sliced avocado or a little homemade guacamole on top, and then sprinkle on some grated vegan cheese. Then pile some scramble on top of the cheese and add sliced spring onions and jalapenos on top.
Wrap up and serve with extra avocado and Frank’s hot sauce.

",Burritos
